"animal" "DIM" "CG" "MY"
"1898" "1037" 289 "32" 25.3
"1899" "1037" 293 "32" 25
"1900" "1037" 296 "32" 27.4
"1901" "1037" 300 "32" 24.2
"1902" "1037" 303 "32" 25
"1903" "1037" 307 "32" 22.5
"1904" "1037" 310 "32" 19.8
"1905" "1037" 314 "32" 24.5
"1906" "1037" 317 "32" 24.7
"1907" "1037" 321 "32" 23.1
"1908" "1037" 324 "32" 20.5
"1909" "1037" 328 "32" 15.9
"1910" "1037" 331 "32" 19.2
"1911" "1037" 335 "32" 18.5
"1912" "1037" 338 "32" 18.9
"1913" "1037" 342 "32" 17.8
"1914" "1037" 345 "32" 17.8
"1915" "1037" 349 "32" 16.7
"1916" "1037" 352 "32" 20.3
"1917" "1037" 356 "32" 18.9
"1918" "1037" 359 "32" 16.6
"1919" "1037" 363 "32" 20.2
"1920" "1037" 366 "32" 20.5
"1921" "1037" 370 "32" 18.6
"1922" "1037" 373 "32" 19.3
"1923" "1037" 377 "32" 18.3
"1924" "1037" 380 "32" 16.6
"1925" "1037" 384 "32" 19.5
"1926" "1037" 387 "32" 20.8
"1927" "1037" 391 "32" 16.3
"1928" "1037" 394 "32" 19.4
"1929" "1037" 398 "32" 16.8
"1930" "1037" 401 "32" 16.1
"1931" "1037" 405 "32" 16.6
"1932" "1037" 407 "32" 10.2
"1933" "1037" 408 "32" 15.9
"1934" "1037" 412 "32" 15.2
"1935" "1037" 415 "32" 17.6
"1936" "1037" 419 "32" 17.1
"1937" "1037" 423 "32" 17.9
"1938" "1037" 426 "32" 11.6
"1939" "1037" 429 "32" 16.8
"1940" "1037" 433 "32" 15.9
"1941" "1037" 436 "32" 17.7
"1942" "1037" 440 "32" 15.8
"1943" "1037" 443 "32" 16
"1944" "1037" 447 "32" 15.8
"1945" "1037" 450 "32" 17.4
"1946" "104" 40 "32" 20
"1947" "104" 75 "32" 19.8
"1948" "104" 105 "32" 22.2
"1949" "104" 135 "32" 21.2
"1950" "104" 166 "32" 23.4
"1951" "104" 197 "32" 27.8
"1952" "104" 224 "32" 29.2
"1953" "104" 251 "32" 26.8
"1954" "104" 289 "32" 28
"1955" "104" 298 "32" 20.6
"1956" "104" 14 "33" 21.2
"1957" "104" 12 "32" 12.2
"1958" "104" 46 "33" 23.8
"1959" "104" 71 "33" 24
"1960" "104" 106 "33" 24
"1961" "104" 133 "33" 21
"1962" "104" 168 "33" 20.2
"1963" "104" 183 "33" 26.2
"1964" "104" 226 "33" 24.2
"1965" "104" 258 "33" 21.4
"1966" "104" 292 "33" 15.8
"1967" "104" 322 "33" 14
"1968" "104" 250 "33" 28
"1969" "104" 313 "33" 22.2
"1970" "104" 15 "33" 14
"1971" "104" 42 "33" 24.4
"1972" "104" 64 "33" 24.2
"1973" "104" 96 "33" 25
"1974" "104" 128 "33" 22.4
"1975" "104" 155 "33" 22.4
"1976" "104" 186 "33" 20.8
"1977" "104" 222 "33" 28.2
"1978" "104" 286 "33" 23.4
"1979" "104" 9 "33" 10.4
"1980" "104" 41 "33" 27.6
"1981" "104" 72 "33" 28.4
"1982" "104" 104 "33" 36.2
"1983" "104" 132 "33" 34
"1984" "104" 158 "33" 30
"1985" "104" 191 "33" 30
"1986" "104" 243 "33" 33
"1987" "104" 271 "33" 23
"1988" "104" 307 "33" 18.6
"1989" "1040" 15 "22" 14
"1990" "1040" 76 "22" 21
"1991" "1040" 82 "22" 20.4
"1992" "1040" 114 "22" 12
"1993" "1040" 148 "22" 18.4
"1994" "1040" 175 "22" 15
"1995" "1040" 210 "22" 11.4
"1996" "1040" 240 "22" 12
"1997" "1040" 273 "22" 9
"1998" "1040" 298 "22" 6.2
"1999" "1040" 329 "22" 7
"2000" "1040" 359 "22" 10.6
"2001" "1040" 392 "22" 8.4
"2002" "1040" 21 "23" 19.4
"2003" "1040" 49 "23" 23.2
"2004" "1040" 77 "23" 19
"2005" "1040" 112 "23" 23.2
"2006" "1040" 140 "23" 31
"2007" "1040" 168 "23" 25.2
"2008" "1040" 203 "23" 23.4
"2009" "1040" 225 "23" 21.8
"2010" "1040" 262 "23" 19.4
"2011" "1040" 297 "23" 16
"2012" "1040" 325 "23" 13
"2013" "1042" 6 "32" 23.2
"2014" "1042" 9 "32" 29.4
"2015" "1042" 16 "32" 34
"2016" "1042" 19 "32" 35.2
"2017" "1042" 23 "32" 35.4
"2018" "1042" 26 "32" 39
"2019" "1042" 30 "32" 35.7
"2020" "1042" 33 "32" 36.6
"2021" "1042" 37 "32" 39.8
"2022" "1042" 40 "32" 38.1
"2023" "1042" 47 "32" 38.4
"2024" "1042" 51 "32" 35.8
"2025" "1042" 54 "32" 37.4
"2026" "1042" 58 "32" 32.1
"2027" "1042" 61 "32" 35.3
"2028" "1042" 65 "32" 35.3
"2029" "1042" 68 "32" 34.6
"2030" "1042" 76 "32" 36.4
"2031" "1042" 77 "32" 35.7
"2032" "1042" 79 "32" 35.8
"2033" "1042" 82 "32" 36.4
"2034" "1042" 86 "32" 37
"2035" "1042" 89 "32" 38
"2036" "1042" 93 "32" 35.8
"2037" "1042" 96 "32" 29.7
"2038" "1042" 100 "32" 37.6
"2039" "1042" 103 "32" 31
"2040" "1042" 107 "32" 34
"2041" "1042" 110 "32" 31.6
"2042" "1042" 114 "32" 29.3
"2043" "1042" 117 "32" 31.4
"2044" "1042" 121 "32" 28.6
"2045" "1042" 124 "32" 31.7
"2046" "1042" 128 "32" 29.6
"2047" "1042" 131 "32" 32.8
"2048" "1042" 135 "32" 29.9
"2049" "1042" 138 "32" 33.8
"2050" "1042" 142 "32" 36
"2051" "1042" 146 "32" 34.3
"2052" "1042" 149 "32" 34.1
"2053" "1042" 152 "32" 31.3
"2054" "1042" 156 "32" 34.4
"2055" "1042" 159 "32" 37.1
"2056" "1042" 170 "32" 30.6
"2057" "1042" 174 "32" 32.2
"2058" "1042" 177 "32" 28.5
"2059" "1042" 180 "32" 27.6
"2060" "1042" 184 "32" 25.5
"2061" "1042" 187 "32" 28.7
"2062" "1042" 192 "32" 30.9
"2063" "1042" 194 "32" 29.9
"2064" "1042" 198 "32" 30.5
"2065" "1042" 205 "32" 25
"2066" "1042" 208 "32" 26.9
"2067" "1042" 212 "32" 25.2
"2068" "1042" 215 "32" 24.2
"2069" "1042" 219 "32" 26.1
